market_price,vehicle_age,mileage,horsepower,fuel_efficiency,safety_rating,insurance_price
43708.61069626262,12,64167.777124082,219,20.721886562087477,2.399751414282856,5711.825098129493
95564.28757689246,14,23794.58632345584,154,29.921296922193985,4.129703248851151,7243.005113744249
75879.45476302646,8,36050.102135495734,126,38.20455245284879,4.970058480647886,5149.852166500985
63879.26357773329,3,130519.68407300684,217,38.22848800038657,1.9626820590286123,5429.425210349086
24041.67763981929,8,71460.90287934414,320,23.547631952637257,4.4972293365483225,5759.417995948599
24039.506830258237,5,80768.35717455647,330,28.191936655542374,4.322491041727165,5111.843503167826
15227.525095137951,1,27588.448818938046,152,20.29089746424653,1.8986295905670665,1916.9328510296955
87955.85311974416,7,47528.496121270604,394,39.890777737472085,2.5973303207968903,8050.631568109094
64100.351056888794,5,35306.67909575262,332,39.52794769669839,2.6386914771700765,5830.959775916335
73726.5320016441,6,31721.738513245535,257,31.237723242686183,4.912882674106234,6514.982013190077
11852.60448662222,6,96056.15820407955,368,35.11035149193684,1.7235676055155933,4380.027894705366
97291.88669457949,8,39275.69329921151,120,32.8775040320925,4.196631884419128,6316.240702581276
84919.83767203796,9,95170.30741704235,152,29.828955475986703,2.3367708566924397,6496.189170689837
29110.519961044854,2,9709.737502174532,374,16.333699924722442,3.9234813831046416,5530.977445137524
26364.247048639056,9,22124.384635538176,380,26.369108563816525,2.6800440171826514,5326.272595809943
26506.405886809043,12,41906.49784601868,313,31.869657554185263,3.31343905246616,4983.8029921351235
37381.80186635839,11,89959.99061745805,130,31.938290347092117,4.3304470933045245,4374.8624028454105
57228.07884690141,10,101700.34551801902,282,24.32806546055959,4.216662259935537,7398.532126735373
48875.05167779042,9,66964.82805014953,122,38.54229966645076,4.4656927341588,4179.73224710055
36210.62261782377,13,67422.84627200711,131,19.183925805919525,1.238469301378636,4336.799055779448
65066.76052501415,10,108953.0108583941,173,27.508986155389017,3.7682022121589793,6455.495149248554
22554.447458683768,10,3357.342673071784,109,32.27209941377057,1.5599495068870515,1775.1099870678233
36293.018368169636,7,51822.41364665886,153,32.428395147295234,2.663274272073644,3523.580717302541
