timestamp,vehicle_id,sensor_type,value,unit
2025-10-01 08:00:00,VEH001,engine_rpm,2748.36,RPM
2025-10-01 08:00:01,VEH003,coolant_temp,83.62,Celsius
2025-10-01 08:00:02,VEH002,coolant_temp,91.48,Celsius
2025-10-01 08:00:03,VEH001,engine_rpm,3261.51,RPM
2025-10-01 08:00:04,VEH004,engine_rpm,2382.92,RPM
2025-10-01 08:00:05,VEH001,engine_rpm,2382.93,RPM
2025-10-01 08:00:06,VEH002,coolant_temp,100.79,Celsius
2025-10-01 08:00:07,VEH001,coolant_temp,92.67,Celsius
2025-10-01 08:00:08,VEH004,coolant_temp,80.31,Celsius
2025-10-01 08:00:09,VEH004,throttle_position,38.14,%
2025-10-01 08:00:10,VEH001,coolant_temp,80.37,Celsius
2025-10-01 08:00:11,VEH004,throttle_position,23.01,%
2025-10-01 08:00:12,VEH003,coolant_temp,87.42,Celsius
2025-10-01 08:00:13,VEH002,throttle_position,1.3,%
2025-10-01 08:00:14,VEH001,engine_rpm,1637.54,RPM
2025-10-01 08:00:15,VEH004,engine_rpm,2218.86,RPM
2025-10-01 08:00:16,VEH003,throttle_position,14.81,%
2025-10-01 08:00:17,VEH003,engine_rpm,2657.12,RPM
2025-10-01 08:00:18,VEH004,engine_rpm,2045.99,RPM
2025-10-01 08:00:19,VEH004,engine_rpm,1793.85,RPM
2025-10-01 08:00:20,VEH003,throttle_position,51.98,%
2025-10-01 08:00:21,VEH002,engine_rpm,2387.11,RPM
2025-10-01 08:00:22,VEH001,coolant_temp,85.68,Celsius
2025-10-01 08:00:23,VEH003,engine_rpm,1787.63,RPM
2025-10-01 08:00:24,VEH002,engine_rpm,2227.81,RPM
2025-10-01 08:00:25,VEH004,throttle_position,31.66,%
2025-10-01 08:00:26,VEH004,throttle_position,12.74,%
2025-10-01 08:00:27,VEH002,throttle_position,35.64,%
2025-10-01 08:00:28,VEH003,coolant_temp,78.99,Celsius
2025-10-01 08:00:29,VEH003,engine_rpm,2354.15,RPM
2025-10-01 08:00:30,VEH002,coolant_temp,78.98,Celsius
2025-10-01 08:00:31,VEH002,oxygen_sensor,1.07,Volts
2025-10-01 08:00:32,VEH004,throttle_position,29.8,%
2025-10-01 08:00:33,VEH002,throttle_position,14.13,%
2025-10-01 08:00:34,VEH001,coolant_temp,93.23,Celsius
2025-10-01 08:00:35,VEH001,throttle_position,11.69,%
2025-10-01 08:00:36,VEH004,throttle_position,33.13,%
2025-10-01 08:00:37,VEH001,coolant_temp,65.4,Celsius
2025-10-01 08:00:38,VEH003,coolant_temp,71.72,Celsius
2025-10-01 08:00:39,VEH004,oxygen_sensor,0.74,Volts
2025-10-01 08:00:40,VEH004,coolant_temp,92.38,Celsius
2025-10-01 08:00:41,VEH003,coolant_temp,86.71,Celsius
2025-10-01 08:00:42,VEH002,throttle_position,28.27,%
2025-10-01 08:00:43,VEH004,oxygen_sensor,0.64,Volts
2025-10-01 08:00:44,VEH003,coolant_temp,70.21,Celsius
2025-10-01 08:00:45,VEH002,oxygen_sensor,0.56,Volts
2025-10-01 08:00:46,VEH001,engine_rpm,2269.68,RPM
2025-10-01 08:00:47,VEH001,coolant_temp,95.57,Celsius
2025-10-01 08:00:48,VEH002,oxygen_sensor,0.77,Volts
2025-10-01 08:00:49,VEH001,oxygen_sensor,0.35,Volts
2025-10-01 08:00:50,VEH004,oxygen_sensor,0.76,Volts
2025-10-01 08:00:51,VEH003,engine_rpm,2307.46,RPM
2025-10-01 08:00:52,VEH001,throttle_position,19.85,%
2025-10-01 08:00:53,VEH003,engine_rpm,2805.84,RPM
2025-10-01 08:00:54,VEH003,oxygen_sensor,0.91,Volts
2025-10-01 08:00:55,VEH002,oxygen_sensor,0.89,Volts
2025-10-01 08:00:56,VEH001,throttle_position,17.41,%
2025-10-01 08:00:57,VEH002,engine_rpm,2345.39,RPM
2025-10-01 08:00:58,VEH003,coolant_temp,88.31,Celsius
2025-10-01 08:00:59,VEH002,throttle_position,44.63,%
2025-10-01 08:01:00,VEH002,engine_rpm,2260.41,RPM
2025-10-01 08:01:01,VEH003,oxygen_sensor,0.66,Volts
2025-10-01 08:01:02,VEH001,engine_rpm,1946.83,RPM
2025-10-01 08:01:03,VEH003,throttle_position,12.06,%
2025-10-01 08:01:04,VEH002,engine_rpm,2906.26,RPM
2025-10-01 08:01:05,VEH002,engine_rpm,3178.12,RPM
2025-10-01 08:01:06,VEH001,oxygen_sensor,0.69,Volts
2025-10-01 08:01:07,VEH001,coolant_temp,95.04,Celsius
2025-10-01 08:01:08,VEH002,oxygen_sensor,0.77,Volts
2025-10-01 08:01:09,VEH002,throttle_position,20.32,%
2025-10-01 08:01:10,VEH004,coolant_temp,88.61,Celsius
2025-10-01 08:01:11,VEH002,throttle_position,53.07,%
2025-10-01 08:01:12,VEH004,throttle_position,29.46,%
2025-10-01 08:01:13,VEH004,oxygen_sensor,1.01,Volts
2025-10-01 08:01:14,VEH001,coolant_temp,60.0,Celsius
2025-10-01 08:01:15,VEH002,engine_rpm,2910.95,RPM
2025-10-01 08:01:16,VEH003,engine_rpm,2543.52,RPM
2025-10-01 08:01:17,VEH002,coolant_temp,82.01,Celsius
2025-10-01 08:01:18,VEH001,engine_rpm,2545.88,RPM
2025-10-01 08:01:19,VEH001,coolant_temp,65.12,Celsius
2025-10-01 08:01:20,VEH001,engine_rpm,2390.16,RPM
2025-10-01 08:01:21,VEH003,engine_rpm,2678.56,RPM
2025-10-01 08:01:22,VEH002,throttle_position,52.17,%
2025-10-01 08:01:23,VEH004,coolant_temp,79.82,Celsius
2025-10-01 08:01:24,VEH002,oxygen_sensor,0.54,Volts
2025-10-01 08:01:25,VEH002,oxygen_sensor,0.6,Volts
2025-10-01 08:01:26,VEH004,coolant_temp,94.15,Celsius
2025-10-01 08:01:27,VEH001,engine_rpm,2664.38,RPM
2025-10-01 08:01:28,VEH004,throttle_position,22.05,%
2025-10-01 08:01:29,VEH004,oxygen_sensor,0.8,Volts
2025-10-01 08:01:30,VEH004,engine_rpm,2548.54,RPM
2025-10-01 08:01:31,VEH001,engine_rpm,2984.32,RPM
2025-10-01 08:01:32,VEH004,throttle_position,19.47,%
2025-10-01 08:01:33,VEH001,coolant_temp,81.72,Celsius
2025-10-01 08:01:34,VEH002,coolant_temp,81.08,Celsius
