Year,Make,Model,Trim,Body,Transmission,Vehicle Identification Number,Odometer,Seller,Market Price,Selling Price,Sale Date,State
2004,Ford,Explorer,Limited,SUV,Automatic,1fmzu65k54ua59709,171116,Barnett Finance Company,2500,1700,2015-02-17,Georgia
2013,Chevrolet,Impala,LS Fleet,sedan,Automatic,2g1wf5e3xd1160771,57634,The Hertz Corporation,8925,8900,2015-06-16,California
2014,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg2er173190,37928,Avis Corporation,16200,16200,2015-02-12,South Carolina
2007,Ford,F-150,XLT,supercab,Automatic,1ftpx14557fa02257,108246,Tdaf Remarketing,10300,11000,2015-06-16,Florida
2011,Hyundai,Elantra,GLS PZEV,Sedan,Automatic,5npdh4aexbh018071,69185,Wholesale Inc # 2,9575,10300,2015-01-21,Tennessee
2012,Nissan,Leaf,SL,Hatchback,Automatic,jn1az0cp2ct018461,23801,Nissan Motor Acceptance Corporation,10600,11100,2015-02-25,California
2010,Dodge,Avenger,SXT,Sedan,Automatic,1b3cc4fb2an189535,110704,Exeter Finance Corp,5100,5600,2015-02-10,Tennessee
2004,Buick,LeSabre,Custom,Sedan,Automatic,1g4hp52k044157533,90061,Park Fcu,3475,1600,2015-01-15,Indiana
2012,Dodge,Durango,R/T,SUV,Automatic,1c4sdjet8cc153184,52982,Wells Fargo Dealer Services,26800,25000,2015-06-03,New Jersey
2012,Honda,Accord,LX,Sedan,Automatic,1hgcp2f36ca167629,35478,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,11850,12300,2015-05-22,Nevada
1997,Ford,Taurus,LX,Sedan,Automatic,1falp53s9va141921,126806,Hertz Remarketing,600,500,2015-01-16,Pennsylvania
2013,Chevrolet,Impala,LTZ,Sedan,Automatic,2g1wc5e37d1220336,38620,Enterprise Veh Exchange/Rental,12850,12600,2014-12-22,Florida
2006,Volvo,XC90,V8SUV,,Automatic,yv4cz852061231136,86314,Hoehn Buick Gmc Cadillac,7700,10100,2015-02-11,California
2013,Honda,Odyssey,LX,Minivan,Automatic,5fnrl5h24db090102,39080,Avis Corporation,17600,18000,2015-02-18,Minnesota
2003,Ford,Expedition,Eddie Bauer,SUV,Automatic,1fmfu18l13la44879,158900,Credit Acceptance Corp/Vrs/Southfield,3575,3200,2015-02-25,Wisconsin
2005,Subaru,Outback,2.5 XT,Wagon,Manual,4s4bp68c756375440,150372,Richmond Car & Truck Sales,3450,4200,2015-03-04,Virginia
2006,Chrysler,300,C,Sedan,Automatic,2c3ka63h16h440943,51751,Remarketing By Ge/Comm Financial Members Fcu,10450,9500,2015-03-05,Michigan
2014,Buick,Enclave,Premium Group,SUV,Automatic,5gakvckd9ej225953,25352,Gm Remarketing,35200,33700,2015-02-19,Illinois
2013,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg3dr685071,62006,The Hertz Corporation,11600,11700,2015-05-20,California
2008,Ford,Edge,SEL,SUV,Automatic,2fmdk38c78ba98865,107185,Santander Consumer,8200,7200,2015-01-08,Michigan
1998,Nissan,Maxima,SE,Sedan,Automatic,jn1ca21d6wm926088,314035,Coggin Nissan At The Avenues,701,950,2014-12-18,Florida
2005,Mercury,Grand Marquis,LS Ultimate,Sedan,Automatic,2mehm75w15x605620,37748,A L Financial Corporation,6675,4800,2015-01-20,Arizona
2009,Chevrolet,Impala,LS,Sedan,Automatic,2g1wb57k191254075,105033,Lease Plan Usa,5475,5300,2015-01-28,Louisiana
2006,Volkswagen,Passat,2.0T,sedan,Automatic,wvwak93c96p180765,129371,Mazda And Volkswagon Of Fredericksburg,3025,3500,2015-05-28,Virginia
2012,Honda,Accord,LX,Sedan,Automatic,1hgcp2f34ca246734,40131,Ahfc/Honda Lease Trust/Hvt  Inc.,11850,11800,2015-02-12,California
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar8dm754991,49601,The Hertz Corporation,20400,20601,2014-12-23,Ohio
2014,Nissan,Xterra,Pro-4X,SUV,Automatic,5n1an0nwxen800541,35319,Avis Corporation,18800,18600,2015-05-21,Michigan
2012,Dodge,Grand Caravan,American Value Package,Minivan,Automatic,2c4rdgbg2cr218448,84510,Merchants Automotive Group,8475,8000,2015-01-20,Massachusetts
2002,BMW,X5,4.4i,SUV,Automatic,5uxfb33582lh37401,125475,Patrick European Llc,4025,5300,2014-12-31,Wisconsin
2007,Hyundai,Veracruz,Limited,SUV,Automatic,km8nu13c07u022178,97288,Sullivan Auto Group Llc,8625,9600,2015-01-15,Ohio
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,Automatic,1fbne3blxeda08143,22732,Ford Motor Credit Company,19300,19200,2015-02-11,Colorado
2009,Honda,Odyssey,EX,Minivan,Automatic,5fnrl38439b058836,75687,Ahfc/Honda Lease Trust/Hvt  Inc.,10250,9700,2015-01-14,New Jersey
2014,Ford,Explorer,Limited,SUV,Automatic,1fm5k8f8xegb11760,36374,Ars/Avis Budget Group,25600,25400,2015-05-27,Minnesota
2011,BMW,3 Series,328i,Sedan,Automatic,wbaph5c54bf093310,29639,Financial Services Remarketing (Lease),19050,17900,2015-02-12,California
2012,Ford,Fusion,S,Sedan,Automatic,3fahp0ga5cr340378,79132,Lease Plan Usa,7975,8800,2015-02-18,Pennsylvania
2013,Honda,Civic,LX,Sedan,Automatic,19xfb2f53de240787,14379,Ahfc/Honda Lease Trust/Hvt  Inc.,13650,14900,2015-01-29,California
2007,Chevrolet,Silverado 1500,Work Truck,Extended Cab,Automatic,1gcek19c97z644265,155150,Kevins Marysville Auto Sales Inc,6725,8100,2015-05-21,Michigan
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0hd0er276866,36203,Enterprise Veh Exchange/Rental,15150,15800,2015-03-10,North Carolina
2005,Subaru,Legacy,2.5 GT Limited,Sedan,Automatic,4s3bl676654219803,130280,Mcmb Financial,4675,4300,2015-02-19,Virginia
1998,Chevrolet,Malibu,LS,Sedan,Automatic,1g1ne52m7wy135130,166681,Autonation Honda Hollywood,600,600,2015-01-20,Florida
2014,GMC,Terrain,SLT-2,SUV,Automatic,2gkflye35e6271285,15841,Gm Remarketing,28100,25900,2015-03-05,Michigan
2011,Toyota,Camry,Base,Sedan,Automatic,4t1bf3ek1bu592454,89766,World Omni Financial Corporation,9525,9500,2015-01-27,Florida
2004,Acura,MDX,Base,suv,Automatic,2hnyd18214h542559,161249,Boch New To You Superstore,3400,3900,2015-06-18,Massachusetts
2006,Acura,TL,Base,Sedan,Automatic,19uua66296a022092,217462,Lexus Of Bellevue,3025,3300,2015-01-07,Washington
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap2fn315814,18181,Enterprise Veh Exchange/Rental,16050,16600,2015-02-19,California
2012,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv8cw700534,36242,Nissan-Infiniti Lt,15800,14600,2015-01-28,New Jersey
2007,Scion,tC,Base,Hatchback,Automatic,jtkde177170161407,173921,Asi Fcu,3400,3000,2015-01-21,Louisiana
2010,Lincoln,MKX,Base,SUV,Automatic,2lmdj8jc5abj30264,52193,G & S Auto Sales & Rentals  Llc,18450,19300,2015-02-25,Tennessee
2011,Ford,F-250 Super Duty,Lariat,Crew Cab,Automatic,1ft7w2bt5bec62327,41563,Woodhouse Ford Inc,39500,39500,2015-02-05,Texas
2012,Dodge,Charger,SE,Sedan,Automatic,2c3cdxbg0ch290457,131922,Fleet Street Remarketing Llc,10800,10300,2015-01-06,Georgia
2006,BMW,X5,3.0i,suv,Automatic,5uxfa135x6ly28406,107169,Aaero Sweet Corporation,7900,7600,2015-06-17,California
2006,Ford,Five Hundred,SEL,Sedan,Automatic,1fahp24126g166958,116855,Orlando Kia East,3275,4700,2015-01-20,Florida
2012,Volkswagen,Jetta,S,Sedan,Automatic,3vw2k7aj5cm394855,58173,The Hertz Corporation,8075,8000,2015-06-05,Nevada
2013,Kia,Soul,+,wagon,Automatic,kndjt2a66d7766189,51644,The Hertz Corporation,10200,9800,2015-06-09,Ohio
2013,GMC,Yukon XL,SLT 1500,SUV,Automatic,1gks2ke74dr244924,64127,The Hertz Corporation,25100,25000,2015-01-20,California
2013,Lexus,IS 250,Base,sedan,Automatic,jthbf5c24d5193603,20416,Lexus Financial Services,22700,22400,2015-06-15,Florida
2010,Ford,Focus,SE,Sedan,Automatic,1fahp3fn3aw268130,47507,Ford Motor Credit Company Llc Pd,7525,7100,2015-03-03,Ohio
2013,Audi,allroad,Premium Plus quattro,Wagon,Automatic,wa1ufafl8da062327,56262,Fratelli Investment Group,27600,27000,2015-02-12,California
2011,Nissan,Murano,S,SUV,Automatic,jn8az1mu2bw067409,43148,Nissan Motor Acceptance Corporation,17500,13000,2015-01-07,Texas
2013,Ford,Taurus,SEL,Sedan,Automatic,1fahp2e81dg195375,24651,Ford-Lincoln Dealer Program,14650,15800,2015-02-03,New York
2008,Honda,Accord,LX,Sedan,Automatic,1hgcp26358a125881,137787,Credit Acceptance Corp/Vrs/Southfield,6200,5300,2015-02-10,Maryland
2013,Volkswagen,CC,Sport,Sedan,Automatic,wvwbn7an2de516754,59370,Walser Leasing,13400,15000,2015-02-26,Minnesota
2008,Dodge,Charger,SRT-8,Sedan,Automatic,2b3ka73w88h154107,56298,Grossinger Autoplex Inc,18600,20000,2015-02-05,Illinois
2011,Lincoln,MKX,Base,SUV,Automatic,2lmdj6jk8bbj30482,24890,Ford Motor Credit Company Llc,23100,23100,2015-02-03,Ohio
2009,Chevrolet,Silverado 1500,Work Truck,Extended Cab,Automatic,2gcek19j191114141,90543,Exceptional Motorcar Llc,15300,17600,2015-02-17,Ohio
2013,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h74dr271078,31747,Ford Motor Credit Company Llc Pd,13700,15300,2015-01-06,Georgia
2014,Jeep,Compass,Sport,SUV,Automatic,1c4njcba5ed817877,19984,Hertz Corporation/Gdp,14050,13900,2015-06-03,California
2012,Hyundai,Sonata,SE,Sedan,Automatic,5npec4ab7ch338474,32567,Hyundai Motor Finance,13000,13300,2015-01-13,Ohio
2009,Dodge,Journey,SXT,SUV,Automatic,3d4gg57v39t599407,59444,Santander Consumer,8850,9000,2015-01-08,Michigan
2008,Chevrolet,TrailBlazer,LT,SUV,Automatic,1gnds13s282113440,87414,Cenizo Financial Corporation Inc,5925,3200,2015-02-10,Florida
2012,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee0cc852951,59267,The Hertz Corporation,9650,9100,2015-01-28,Pennsylvania
2014,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb0e7113875,18651,Luxury Auto Group,12400,10500,2015-02-12,Michigan
2012,Ford,F-150,Lariat,SuperCrew,Automatic,1ftfw1e64cfc86500,23176,Ford Motor Credit Company Llc,36600,36100,2015-01-28,New York
2010,Hyundai,Elantra,GLS,Sedan,Automatic,kmhdu4ad8au208888,25754,Hyundai Motor Finance,7775,7700,2015-01-02,Pennsylvania
2007,Dodge,Caravan,SE,Minivan,Automatic,1d4gp25b37b153831,49728,Santander Consumer,4150,5100,2015-03-04,Florida
2006,Chevrolet,Cobalt,LT,Sedan,Automatic,1g1al55f767726503,117441,A L Financial Corporation,3100,1700,2015-01-06,Arizona
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar8dm755199,9494,Nissan Infiniti Lt,23500,23800,2015-02-04,Florida
2013,Lexus,IS 250,Base,Sedan,Automatic,jthbf5c23d5189638,12624,Desert Auto Trade,24400,27250,2015-02-12,California
2013,Subaru,Impreza WRX,Premium,Sedan,Manual,jf1gv7f63dg023151,21168,Tdaf Remarketing,25200,26800,2015-02-10,Florida
2012,Chevrolet,Traverse,LTZ,suv,Automatic,1gnkrled8cj307384,42098,Remarketing By Ge/Larry H Miller-Fleet Lease,20200,19500,2015-06-10,California
2013,Ford,Escape,SE,suv,Automatic,1fmcu9g96dud72642,81587,Advantage Chevrolet/Ge,10800,11600,2015-06-04,Illinois
2015,Toyota,Corolla,LE,Sedan,Automatic,5yfburhe9fp178859,12482,Midway Hfc Fleet/Ars,14150,14600,2015-05-28,California
2011,GMC,Acadia,SLE,SUV,Automatic,1gkkvped1bj392440,101764,Freehold Dodge Inc,13900,12500,2015-01-14,New Jersey
2011,Kia,Sorento,LX,SUV,Automatic,5xyktda29bg048634,70112,Chrysler Capital,11600,11500,2014-12-23,Indiana
2012,Honda,Civic,EX,Sedan,Automatic,19xfb2f87ce352114,29199,Hopper Motorplex Inc,12250,12000,2015-01-07,Texas
2010,Dodge,Challenger,SE,Coupe,Automatic,2b3cj4dv5ah109317,115352,Remarketing By Ge/Michigan Schools & Govt Cu,10250,9100,2015-01-08,Michigan
2006,Nissan,Titan,LE,Crew Cab,Automatic,1n6aa07a76n526747,170274,Cig Financial,4850,4800,2014-12-17,California
2008,Ford,Escape,XLT,SUV,Automatic,1fmcu03z38ke58848,164120,Ari,3075,3600,2015-06-03,Florida
2011,GMC,Terrain,SLE-2,suv,Automatic,2ctfltec8b6361416,37905,Automobiles Paille Inc,17750,16400,2015-06-18,Michigan
1999,Chevrolet,Suburban,1500 LT,SUV,Automatic,3gnfk16r7xg243575,184922,Titlemax/Las Vegas Nv18,775,550,2014-12-31,Nevada
2014,Toyota,Tacoma,Base,Regular Cab,Automatic,5tfnx4cn5ex035633,633,Toyota Credit De Puerto Rico,17650,18000,2015-01-15,Puerto Rico
2013,Dodge,Avenger,SXT,Sedan,Automatic,1c3cdzcb8dn626041,61602,The Hertz Corporation,9550,9800,2015-01-28,Tennessee
2005,Mercedes-Benz,CLK-Class,CLK320,Convertible,Automatic,wdbtk65g65t045965,78627,Mercedes-Benz Of Pompano,9425,7500,2014-12-22,Florida
2009,Infiniti,G37,Journey,Coupe,Automatic,jnkcv64e49m605537,97299,Courtesy Ford,12700,14700,2015-02-17,Florida
2010,Ford,Focus,SE,Sedan,Automatic,1fahp3fn0aw214039,89093,Ford Motor Credit Company Llc Pd,5850,5600,2015-01-20,Ohio
2012,GMC,Sierra 1500,SLE,Crew Cab,Automatic,3gtp1ve0xcg288739,34801,Us Bank,24100,25200,2015-02-10,California
2004,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al11e54c131902,163448,First Chrysler Dodge  Jeep  Ram,2550,1900,2015-02-24,Massachusetts
2014,Toyota,Camry,SE,Sedan,Automatic,4t1bf1fkxeu814349,12702,Toyota Motor Sales Usa Inc/Program,16750,16900,2015-01-27,Ohio
2012,Scion,tC,Base,Hatchback,Automatic,jtkjf5c79c3041845,46572,Toyota Financial Services,11850,9000,2015-05-20,California
2010,Ford,F-150,XL,SuperCab,Automatic,1ftex1e84ake60984,144068,Westlake Financial Services,8875,7800,2015-01-13,Texas
2012,BMW,3 Series,335i,Convertible,Automatic,wbadx7c59ce744357,9099,Financial Services Remarketing (Lease),33300,34500,2015-01-29,California
2013,Volvo,S60,T5,sedan,Automatic,yv1612fs9d2234329,4157,Volvo Na Lemon Law/World Omni,17500,15200,2015-06-16,Florida
2014,Jeep,Grand Cherokee,Limited,SUV,Automatic,1c4rjfbt5ec115469,10719,Chrysler Capital,33500,32500,2015-05-21,Minnesota
1995,Nissan,Altima,GXE,Sedan,Automatic,1n4bu31d2sc203995,171641,Dt Inventory,600,550,2015-02-05,Ohio
2014,Toyota,Camry,SE,sedan,Automatic,4t1bf1fk4eu366013,38489,The Hertz Corporation,14250,13500,2015-06-18,Illinois
2012,Hyundai,Sonata,GLS,sedan,Automatic,5npeb4ac5ch445468,28310,Hyundai Motor Finance,12000,11800,2015-06-04,Florida
2012,Ford,Escape,XLT,SUV,Automatic,1fmcu0d73ckb40914,44756,Ford Motor Credit Company Llc,13500,11700,2015-02-19,Illinois
2011,Ford,F-150,XLT,SuperCab,Automatic,1ftex1cm9bfb69990,53951,Ford Motor Credit Company Llc,17150,18000,2014-12-18,Texas
2013,Hyundai,Elantra,GLS,sedan,Automatic,5npdh4ae1dh306967,5427,Hyundai Motor Finance,12400,12400,2015-05-21,Georgia
2011,Cadillac,SRX,Luxury,SUV,Automatic,3gyfnaey7bs510349,102782,Tdaf Remarketing,15850,11400,2014-12-22,Florida
2014,Chrysler,Town and Country,Touring,Minivan,Automatic,2c4rc1bg9er363330,19602,Enterprise Holdings/Gdp,19400,19000,2015-02-16,Florida
2014,Chrysler,300,Base,Sedan,Automatic,2c3ccaagxeh175417,11364,Ford-Lincoln Dealer Program,19850,20500,2015-01-20,Georgia
2009,Chrysler,PT Cruiser,Touring,Wagon,Automatic,3a8fy58999t573071,32277,Dean Sellers Ford,6575,5200,2014-12-18,Michigan
2008,Ford,Escape,Limited,SUV,Automatic,1fmcu94138ka01504,66220,U S Auto Importing & Sales,10650,9800,2015-02-10,Ohio
2012,Lexus,IS 350,Base,Sedan,Automatic,jthbe5c27c5028548,29586,Lexus Financial Services,27700,28500,2014-12-30,Florida
2005,Ford,F-150,King Ranch,SuperCrew,Automatic,1ftpw14505ke73420,165659,Consolidated Asset Recovery Systems  Inc.,9850,6200,2015-01-22,Indiana
2006,Toyota,RAV4,Base,SUV,Automatic,jtmzk33v065005396,102450,Toyota Financial Services,7675,8300,2015-01-14,California
2011,Ford,Fusion Hybrid,Base,Sedan,Automatic,3fadp0l33br309649,43108,Vroom,13300,12000,2015-05-21,Texas
2011,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha4br244643,110177,Ge Fleet Services For Itself/Servicer,6250,4600,2015-04-30,California
2002,Cadillac,Eldorado,ESC,Coupe,Automatic,1g6el12y42b102739,48928,Remarketing By Ge/Hardy Automotive Llc,3250,5300,2015-02-06,Florida
2014,Kia,Sedona,LX,Minivan,Automatic,kndmg4c79e6543591,36740,Ez Rent A Car/Orlando,13900,13100,2014-12-30,Washington
2011,GMC,Acadia,Denali,SUV,Automatic,1gkkrted2bj229082,38680,Music City Autoplex Llc,26000,27250,2015-01-14,Texas
2014,BMW,X6,xDrive35i,SUV,Automatic,5uxfg2c59e0c43615,17922,Kevins Marysville Auto Sales Inc,44800,41500,2015-05-21,Michigan
2002,Mazda,Tribute,ES-V6,SUV,Automatic,4f2cu08112km63092,102562,1 Cochran Of Monroeville,3050,2900,2015-04-08,Pennsylvania
2013,Hyundai,Elantra,GLS,sedan,Automatic,5npdh4ae0dh398010,24983,Hyundai Motor Finance,11250,11400,2015-05-21,Florida
2011,Kia,Sportage,SX,SUV,Automatic,kndpc3a67b7163961,40563,Munter Motor Cars,16850,17900,2015-03-10,Georgia
2013,Toyota,Avalon,XLE,sedan,Automatic,4t1bk1eb9du042387,20184,Kevins Marysville Auto Sales Inc,20300,24100,2015-06-04,Michigan
2012,Volkswagen,CC,Lux Limited PZEV,Sedan,Automatic,wvwhp7an5ce500955,28370,Warren Toyota,16450,16000,2015-02-19,Michigan
2012,Lexus,RX 350,Base,SUV,Automatic,2t2bk1ba6cc151719,37355,Lexus Financial Services,27800,26800,2015-02-18,Wisconsin
2011,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap9bn432052,45887,Santander Consumer,10100,11300,2014-12-26,California
2012,Kia,Optima,SX,Sedan,Automatic,5xxgr4a69cg011614,14685,Meridian Remarketing,18950,18300,2015-01-28,Pennsylvania
2008,BMW,3 Series,328i,Convertible,Automatic,wbawl13558px20652,76595,Nalley Bmw,14300,13700,2015-03-03,Georgia
2011,Nissan,Rogue,S,SUV,Automatic,jn8as5mv1bw286950,33654,Cameron Motors,13300,15800,2015-03-04,Washington
2003,Cadillac,DeVille,Base,Sedan,Automatic,1g6kd54y43u250559,142380,Coral Cadillac Inc,1750,1000,2015-05-22,Florida
2005,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al11d35c249052,123536,Wholesale Inc # 2,3250,5100,2015-02-25,Tennessee
2014,Chevrolet,Impala,LTZ,Sedan,Automatic,2g1155s39e9307246,11647,Gm Remarketing,24500,24600,2015-02-09,Florida
2012,GMC,Sierra 1500,SLE,Extended Cab,Automatic,1gtr1ve07cz233030,8350,Ankrom Auto Llc,23200,23900,2015-05-26,Florida
2013,Nissan,Altima,2.5,sedan,Automatic,1n4al3ap0dc279422,43098,Enterprise Veh Exchange/Rental,11700,12200,2015-06-08,Maryland
2009,Nissan,Murano,S,SUV,Automatic,jn8az18u29w105080,66308,First Investors Servicing Corp,11200,10400,2015-02-17,Texas
2013,Chrysler,Town and Country,Touring,minivan,Automatic,2c4rc1bg9dr661164,36738,Chrysler Capital,16200,16600,2015-06-17,New York
2009,Chevrolet,Malibu,LS,Sedan,Automatic,1g1zg57b794106578,109738,First Credit Finance,5900,5000,2015-01-14,California
2009,Dodge,Avenger,SE,sedan,Automatic,1b3lc46b19n500819,142520,Autonation Nissan Pembroke Pines,3575,2800,2015-06-02,Florida
2013,Kia,Optima,LX,sedan,Automatic,5xxgm4a7xdg213824,50929,The Hertz Corporation,11150,10700,2015-06-09,Illinois
2013,Ford,Focus,SE,sedan,Automatic,1fadp3f26dl337869,46372,Dtg Operations Inc,9425,7100,2015-06-04,Arizona
2003,Chrysler,PT Cruiser,Touring Edition,Wagon,Automatic,3c4fy58b63t569352,102480,R K Chevrolet Inc,1900,1300,2015-01-22,Virginia
2011,Nissan,Murano,SL,SUV,Automatic,jn8az1mw0bw181412,66841,Nissan-Infiniti Lt,16550,16500,2015-02-17,Illinois
2012,Nissan,Leaf,SL,Hatchback,Automatic,jn1az0cp3ct023474,18219,Nissan-Infiniti Lt,12100,12100,2015-01-14,California
2013,Toyota,Corolla,LE,sedan,Automatic,5yfbu4ee4dp133185,46455,Fidelity Bank,10400,10100,2015-06-03,Florida
2008,Chrysler,Town and Country,Limited,Minivan,Automatic,2a8hr64x08r613524,57787,Chrysler Capital,11250,12400,2015-03-05,Minnesota
2013,Ford,Taurus,SEL,Sedan,Automatic,1fahp2e80dg156342,59894,The Hertz Corporation,12950,13100,2014-12-23,Arizona
2013,Ford,F-150,STX,SuperCab,Automatic,1ftfx1cf6dkf42631,16832,Millennium Cars,21800,22400,2015-01-21,California
2011,Kia,Sorento,Base,SUV,Automatic,5xykt3a15bg066629,57483,Par North America,11050,10000,2015-02-05,Illinois
2011,Dodge,Nitro,Heat,SUV,Automatic,1d4pu4gx2bw504999,54661,Darcars Imports Inc,14250,12900,2015-01-20,Maryland
2010,Toyota,Corolla,LE,Sedan,Automatic,1nxbu4ee9az380969,58813,Capital One Auto Finance,8225,8300,2015-01-28,Minnesota
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sb1e7287500,21248,Gm Remarketing,13350,12500,2015-03-05,Michigan
2011,Ford,F-150,XLT,SuperCab,Automatic,1ftfx1ef6bfc26634,43683,Ford Motor Credit Company Llc,21300,22300,2015-01-22,Michigan
2011,Hyundai,Sonata,SE,Sedan,Automatic,5npec4ac1bh167731,38781,Santander Consumer,11900,12600,2014-12-18,California
2005,Dodge,Durango,Limited,SUV,Automatic,1d8hb58n65f516816,226098,Wells Fargo Dealer Services,1150,1000,2015-01-21,New Jersey
2009,Hyundai,Santa Fe,GLS,SUV,Automatic,5nmsg13d59h246127,82068,J & E Auto Sales,8125,9700,2015-03-05,California
2004,Honda,Civic,Value Package,Coupe,Automatic,1hgem22184l048458,150040,High Bid Trading Co Inc,2225,3000,2015-02-04,California
2012,Nissan,Altima,2.5,sedan,Automatic,1n4al2apxcc161466,33442,Nissan-Infiniti Lt,11650,13700,2015-06-02,Georgia
2014,Kia,Sedona,LX,Minivan,Automatic,kndmg4c74e6553266,33810,Ez Rent A Car/Orlando,13750,14000,2015-02-27,Nevada
2014,Chevrolet,Cruze,LS,sedan,Automatic,1g1pa5sh8e7198636,17071,Gm Financial Leasing,11150,11900,2015-06-03,Florida
2004,BMW,X5,3.0i,suv,Automatic,5uxfa13584lu32875,125241,Coggin Buick-Gmc Of Orange Park,5225,5100,2015-06-11,Florida
2002,Lincoln,LS,Base,Sedan,Automatic,1lnhm87a52y602591,130987,Automotive Remarketing Inc,1600,1000,2015-01-14,Virginia
2011,Mercedes-Benz,E-Class,E350,Convertible,Automatic,wddkk5gf9bf115051,21533,Mercedes-Benz Finc Wholesale Advantage,32500,29600,2015-02-19,Florida
2012,Lexus,ES 350,Base,sedan,Automatic,jthbk1egxc2502357,15991,Lexus Financial Services,22100,19600,2015-06-16,Florida
1995,Chevrolet,Blazer,LT,SUV,Automatic,1gncs13w5s2196464,294467,Automotive Remarketing Inc,275,400,2015-01-13,Texas
2012,Toyota,Yaris,LE,Hatchback,Automatic,jtdktud36cd535407,28180,Crb Auto Finance,10700,10000,2015-02-11,California
2011,Ram,1500,SLT,Quad Cab,Automatic,1d7rb1gp2bs599197,112418,Santander Consumer,10800,12900,2015-02-04,Texas
2007,BMW,6 Series,650i,Coupe,Automatic,wbaeh13547cr51609,57577,Bentley Scottsdale,18400,18000,2015-02-26,California
2004,Suzuki,Verona,EX,Sedan,Automatic,kl5vm52l44b097654,83094,Billion Dodge Chrysler Jeep,1500,2000,2015-01-07,California
2014,Volkswagen,Passat,SE PZEV,Sedan,Automatic,1vwbp7a37ec003180,17779,Vw Credit,15650,15500,2015-05-21,California
2009,Dodge,Avenger,SE,Sedan,Automatic,1b3lc46bx9n535083,66067,Santander Consumer,6625,4400,2015-02-18,Missouri
2012,Honda,Ridgeline,RT,Crew Cab,Automatic,5fpyk1f28cb455624,42844,Arlington Hgts Chry Dod Jeep,19950,21500,2015-02-04,Wisconsin
2011,Hyundai,Santa Fe,GLS,SUV,Automatic,5xyzg3ab6bg083659,17953,Lester Glenn Buick,12550,12900,2015-03-04,New Jersey
2013,Ford,Edge,SEL,SUV,Automatic,2fmdk4jc9dba91880,84095,Delta Auto Group London,19600,14500,2015-02-03,Ohio
2013,Ford,Explorer,XLT,SUV,Automatic,1fm5k8d83dgb02786,15852,Ford Motor Credit Company Llc,29600,28700,2015-01-14,Tennessee
2009,Nissan,Xterra,X,suv,Automatic,5n1an08w69c502520,65854,Justus Motors Company Inc,13050,14700,2015-06-03,Colorado
2014,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,Automatic,4jgda5hb2ea270801,18583,Bank Of America,41200,43000,2015-01-07,New Jersey
2004,Ford,F-150,XLT,SuperCab,Automatic,1ftrx14w34kb60357,98909,Metro Ford,7850,8500,2015-01-06,Massachusetts
2014,Subaru,Legacy,2.5i Limited PZEV,Sedan,Automatic,4s3bmbl62e3024802,10880,Subaru Of America,21900,21600,2015-06-02,Florida
2005,Chevrolet,Silverado 1500,LS,Extended Cab,Automatic,2gcec19v151103117,104622,Riverside Chevrolet Inc,7300,8700,2015-02-10,Georgia
2004,BMW,X5,4.4i,SUV,Automatic,5uxfb53504lv05385,128227,Lobel Financial Corp,5400,4900,2015-01-14,California
2011,Dodge,Grand Caravan,Express,Minivan,Automatic,2d4rn4dg9br618582,87368,Wells Fargo Dealer Services,8225,10000,2015-02-11,Minnesota
2014,Ford,E-Series Van,E-250,E-Series Van,Automatic,1ftne2ewxeda18621,3746,U-Haul,23600,23500,2015-01-29,Minnesota
2013,Ford,Edge,Limited,SUV,Automatic,2fmdk3kc3dba58964,33097,Ford Motor Credit Company Llc Pd,22600,23400,2015-02-05,California
2014,Chevrolet,Impala,LT,Sedan,Automatic,2g1125s31e9122567,19620,Gm Remarketing,18950,18900,2015-01-26,Florida
2009,Nissan,Versa,1.8 S,Hatchback,Automatic,3n1bc13e29l448126,85534,Ari,4450,4600,2015-01-07,Florida
2001,Oldsmobile,Silhouette,GLS,Minivan,Automatic,1ghdx03e41d312282,155254,Coggin Honda Of Orlando,1425,1200,2015-03-03,Florida
2007,Dodge,Caliber,SXT,Wagon,Automatic,1b3hb48b27d414623,118112,Santander Consumer,3050,2200,2015-01-22,Indiana
2012,Chevrolet,Equinox,LT,SUV,Automatic,2gnaldekxc6380464,44188,Ge Fleet Services For Itself/Servicer,14450,15200,2015-02-11,Utah
